"    27"
"    29"
"    27"
"    25"
"    27"
"    29"
"    27"
"    25"
"    31"
"    31"
"    34"
"    42"
"    40"
"    44"
"    57"
"    52"
"    61"
"    82"
"    67"
"    42"
"    32"
"    25"
"    13"
"    13"
"    15"
"    10"
"    10"
"    19"
"   254"
"   214"
"   201"
"   237"
"   143"
"    96"
"    96"
"   101"
"    57"
"    55"
"    63"
"    63"
"    55"
"    55"
"    61"
"    48"
"    29"
"    19"
"    11"
"    10"
"     8"
"    15"
"    19"
"    27"
"    42"
"    52"
"    84"
"    94"
"    88"
"    82"
"    78"
"    82"
"    80"
"    94"
"   105"
"    80"
"    96"
"    86"
"   101"
"    82"
"    80"
"    97"
"   115"
"   210"
"   231"
"   388"
"   330"
"   290"
"   113"
"   155"
"    71"
"   117"
"   118"
"   117"
"    84"
"    76"
"    57"
"    69"
"    73"
"    71"
"    76"
"    97"
"   109"
"   111"
"    94"
"    57"
"    44"
"    29"
"    32"
"    40"
"    32"
"    36"
"    40"
"    67"
"    76"
"    80"
"    97"
"    96"
"   126"
"   136"
"   118"
"   115"
"   122"
"   118"
"   122"
"   145"
"   139"
"   147"
"   130"
"   113"
"    80"
"    59"
"    48"
"    46"
"    82"
"   103"
"   109"
"   157"
"   159"
"   118"
"    96"
"   111"
"   164"
"   130"
"    50"
"    32"
"    31"
"    21"
"    29"
"    84"
"    50"
"    53"
"    57"
"    36"
"    27"
"    15"
"    19"
"    17"
"    15"
"    27"
"    31"
"    53"
"    57"
"    52"
"    55"
"    59"
"    63"
"    63"
"    52"
"    69"
"    57"
"    59"
"    57"
"    61"
"    78"
"    76"
"    71"
"    53"
"    46"
"    38"
"    57"
"    55"
"    34"
"    52"
"    32"
"    57"
"    99"
"   107"
"   109"
"   103"
"    57"
"    55"
"    48"
"    52"
"    61"
"    61"
"    57"
"    44"
"    46"
"    50"
"    52"
"    27"
"    19"
"    13"
"    13"
"    15"
"    15"
"    17"
"    27"
"    67"
"   122"
"    80"
"    57"
"    61"
"    48"
"    44"
"    32"
"    27"
"    27"
"      "
"    21"
"    52"
"    78"
"    94"
"    84"
"    50"
"    34"
"    27"
"    15"
"    19"
"    21"
"    25"
"    31"
"    67"
"    76"
"    78"
"    80"
"    80"
"    82"
"    88"
"    84"
"    88"
"    82"
"   113"
"    92"
"    86"
"    94"
"   109"
"   111"
"    99"
"    73"
"    53"
"    27"
"    29"
"    38"
"    31"
"    11"
"    11"
"    13"
"     8"
"     8"
"    15"
"    25"
"    13"
"    27"
"    17"
"    10"
"    17"
"    11"
"    13"
"    10"
"    13"
"    29"
"    40"
"    17"
"    10"
"    10"
"    11"
"    15"
"    17"
"    27"
"    88"
"   107"
"   107"
"   120"
"   111"
"   115"
"   103"
"    53"
"    82"
"    80"
"   138"
"   210"
"   168"
"   141"
"    88"
"    88"
"    63"
"    25"
"    19"
"    15"
"    13"
"    10"
"    17"
"    13"
"    17"
"    23"
"    21"
"    31"
"    36"
"    36"
"    32"
"    27"
"    23"
"    19"
"    19"
"    21"
"    21"
"    17"
"    19"
"    23"
"    13"
"    10"
"     4"
"     6"
"    11"
"    11"
"    13"
"    31"
"    34"
"    42"
"    52"
"    55"
"    67"
"    55"
"   122"
"    63"
"    50"
"    38"
"    42"
"    76"
"   109"
"    99"
"    88"
"    88"
"    74"
"    55"
"    36"
"    19"
"    10"
"    10"
"    10"
"    23"
"    48"
"    67"
"    52"
"    59"
"    53"
"    61"
"    69"
"    71"
"    65"
"    69"
"    84"
"   103"
"   120"
"   138"
"   159"
"   141"
"    94"
"    40"
"    19"
"    27"
"    38"
"    32"
"    21"
"    44"
"    69"
"    84"
"    94"
"   124"
"    71"
"    52"
"    44"
"    38"
"    48"
"    38"
"    23"
"    19"
"    19"
"    19"
"    21"
"    13"
"    10"
"     8"
