Nitrogen Oxide,Ozone,PM2.5,PM10
48.64109,27.84002,4.083,5.399
88.53871,14.51872,4.877,4.083
72.54399,18.85937,4.936,4.877
97.85354,4.34065,11.323,4.936
126.67778,1.64645,14.005,11.323
234.02306,0.89807,15.203,14.005
184.41473,0.94796,15.682,15.203
130.98473,0.84817,15.559,15.682
108.7065,0.79828,15.33,15.559
88.49472,0.84817,15.894,15.33
68.94132,0.79828,14.368,15.894
62.87774,0.74839,13.656,14.368
72.76441,0.74839,14.465,13.656
82.54796,1.06437,15.083,14.465
68.66321,0.79828,15.08,15.083
25.79198,30.93335,6.389,15.08
45.1699,19.70754,5.863,6.389
47.41088,19.80732,5.724,5.863
43.93969,24.74668,5.059,5.724
67.18373,15.01764,5.297,5.059
49.73934,37.61895,3.62,5.297
62.08644,35.42368,2.995,3.62
57.9564,34.52561,3.08,2.995
63.01018,32.6297,4.278,3.08
52.11228,32.18066,5.785,4.278
53.91433,30.88346,6.002,5.785
60.41731,27.04174,6.618,6.002
56.11084,32.18066,4.818,6.618
53.56243,34.97464,3.45,4.818
71.18277,18.6598,4.91,3.45
74.78497,9.92861,5.63,4.91
69.24923,11.27571,6.276,5.63
45.69728,20.70539,6.873,6.276
34.84432,21.9527,9.326,6.873
20.91462,24.49722,14.229,9.326
19.72839,18.90926,15.877,14.229
19.72887,19.50797,14.698,15.877
25.602,8.38194,13.828,14.698
36.44078,10.44416,12.163,13.828
74.78544,7.23441,12.172,12.163
101.94055,2.79398,10.642,12.172
106.50952,3.89162,9.486,10.642
151.76787,1.59656,10.094,9.486
130.54534,2.19527,10.243,10.094
116.43969,3.44258,10.802,10.243
71.31426,6.83527,11.743,10.802
49.3884,17.71184,10.481,11.743
52.24472,23.59915,11.783,10.481
41.30331,34.97464,11.639,11.783
37.74462,35.97249,8.637,11.639
41.34682,35.274,6.472,8.637
43.32482,32.67959,5.866,6.472
54.79265,28.43873,8.427,5.866
56.2428,24.29765,5.984,8.427
60.19737,13.82022,5.394,5.984
55.10056,16.96345,5.243,5.394
46.35613,17.76173,4.491,5.243
25.44103,30.634,4.186,4.491
18.71812,36.5712,4.21,4.186
14.67557,39.46497,4.826,4.21
17.00452,35.82282,6.021,4.826
18.7476,31.39901,6.677,6.021
21.09105,32.33034,6.467,6.677
20.80609,48.94454,7.625,6.467
34.04633,38.71658,7.531,7.625
24.01718,50.44132,7.783,7.531
40.1166,39.66454,8.599,7.783
37.69729,39.76432,9.67,8.599
39.14888,41.76002,10.208,9.67
33.51848,56.72777,9.884,10.208
32.50676,64.11186,9.729,9.884
35.80583,63.36348,8.505,9.729
29.73555,64.5609,7.236,8.505
31.89094,63.91229,7.066,7.236
33.82639,59.97079,8.901,7.066
25.38079,58.27444,10.401,8.901
30.35138,48.5953,6.745,10.401
39.50078,31.23271,2.66,6.745
52.34513,15.86582,3.321,2.66
30.43935,29.38668,4.63,3.321
25.95263,25.54496,6.731,4.63
21.64185,29.08733,8.686,6.731
16.71525,35.97249,11.127,8.686
19.13456,31.23271,12.564,11.127
21.37793,25.89421,12.146,12.564
29.14905,21.9527,10.073,12.146
33.72375,18.02782,10.368,10.073
