Ozone,Nitrogen Oxide,PM2.5,PM10
41.11064,9.47958,14.568,21.323
35.62316,11.77463,14.186,20.155
38.66726,10.97635,13.729,19.815
38.98677,10.32775,12.868,20.363
39.71037,9.57936,12.918,19.828
43.7256,9.52947,13.104,18.83
48.55849,6.38624,13.559,23.018
31.2095,19.50797,10.083,14.608
22.85296,31.68174,8.715,13.868
12.19248,41.61035,7.586,11.688
13.18413,41.80992,7.618,12.393
16.0505,38.16776,6.721,13.558
17.64995,38.96604,6.789,14.41
0,39.71443,6.686,14.655
11.84232,46.96547,6.28,13.145
22.12745,15.91571,18.908,26.695
30.7542,14.36904,15.811,21.478
36.50857,13.07184,15.899,21.958
44.7139,4.14108,20.512,26.493
48.63014,0.99785,22.248,29.438
48.3129,0.6985,24.722,31.243
41.77265,0.89807,26.061,32.668
40.07749,0.99785,29.309,38.525
44.16114,1.29721,28.005,38.123
35.01367,1.59656,27.177,34.883
34.1977,2.44473,25.12,32.648
35.9413,2.09549,24.665,32.173
38.2305,1.74624,25.17,30.805
41.92052,1.64645,23.778,29.185
40.78027,1.74624,24.585,29.82
36.41495,1.09764,23.767,29.265
37.63752,1.09764,23.722,29.128
37.86833,0.89807,23.234,29.573
34.38848,2.04559,21.859,26.418
27.05272,7.88302,21.377,24.6
26.99147,9.77893,21.024,24.578
31.85656,8.48173,21.597,26.113
0,6.45276,22.028,25.883
32.08588,6.25319,21.719,26.478
81.82513,1.24731,22.67,27.28
92.99657,1.39699,23.698,29.015
101.62471,0.94796,21.208,26.388
107.25466,0.89807,17.248,23.853
101.08905,0.99785,15.5,21.615
95.16617,0.94796,13.625,19.08
93.36417,0.84817,10.781,16.008
67.63054,7.18452,10.119,16.803
33.40245,30.18496,7.332,11.938
20.20253,45.55185,6.171,9.4
0,40.64576,0,0
25.25886,39.86411,7.304,11.695
29.79681,37.12002,7.601,11.615
30.91283,37.07013,7.289,12.198
40.00889,31.03314,6.178,10.372
43.82091,28.6383,4.706,7.471
33.55404,40.01379,4.823,7.092
30.72451,45.2525,1.686,2.606
15.80831,48.44562,3.985,5.467
24.14612,26.79227,7.445,10.805
18.36584,17.56216,9.405,12.31
16.03059,19.65765,10.691,14.395
0,19.49134,13.109,19.368
18.41773,16.36474,14.097,18.683
37.50162,0.74839,23.319,27.365
39.23713,0.74839,23.908,28.913
43.01387,0.49893,22.04,26.21
46.21002,0.59871,22.219,26.908
50.7266,0.6985,22.8,27.54
49.65213,0.99785,26.295,31.94
43.18068,0.6985,27.019,32.323
35.33593,0.54882,22.863,26.47
35.2848,1.74624,20.311,24.19
40.3791,2.89377,20.262,23.853
31.29485,2.99355,18.8,21.94
27.48351,3.74194,21.837,24.355
33.77909,2.44473,20.927,24.373
37.94087,1.84602,20.231,23.108
44.57883,1.19742,15.123,18.51
50.55581,0.99785,14.811,18.008
60.91749,0.79828,19.196,22.308
46.34428,1.04774,20.568,23.975
39.13968,0.54882,19.177,22.043
41.93035,0.6486,19.455,22.393
41.29753,0.6985,19.859,22.498
53.51628,1.04774,25.083,28.965
0,1.19742,26.833,31.085
68.11181,1.39699,25.844,30.508
34.05737,29.33679,14.467,16.563
39.43051,27.39098,13.505,15.288
54.03971,16.81377,15.104,17.55
42.41772,25.34539,15.278,17.743
43.36998,23.00044,13.146,14.998
49.86697,9.92861,19.052,22.598
56.76108,4.09119,21.644,27.145
51.70751,6.03699,19.526,24.46
46.92292,9.52947,16.37,20.343
49.57733,6.93506,14.179,16.73
46.61558,6.13678,14.215,17.238
43.9162,5.53807,15.165,18.073
40.42658,4.73979,16.38,19.648
42.73266,2.09549,22.842,26.66
42.75167,1.14753,25.019,28.668
51.17417,0.89807,20.802,24.198
41.49141,0.89807,22.686,25.855
34.78049,0.89807,24.267,27.445
31.80172,0.29936,26.109,30.003
31.53621,0.6486,29.014,35.078
30.56031,0.84817,26.205,30.55
29.92448,3.14323,22.033,25.64
0,2.8605,25.031,31.215
34.81334,1.33047,25.653,30.408
20.88208,33.07873,21.757,26.683
22.93368,29.78582,22.377,26.88
21.37408,28.88776,21.37,24.605
22.03845,26.04389,22.156,25.408
21.81921,28.43873,21.427,24.785
25.75487,25.9441,22.453,26.563
29.12824,25.44518,21.748,26.653
22.86688,31.83142,18.929,23.29
20.77005,32.67959,18.488,22.218
19.99515,36.12217,17.616,21.31
20.38558,36.32174,16.441,19.893
24.46266,28.88776,16.488,19.788
19.73284,29.78582,19.321,23.123
30.28188,18.70969,19.271,23.308
31.62496,15.26711,18.918,22.373
28.51723,18.95915,18.335,21.738
23.58543,23.15012,17.679,20.338
18.43638,30.78367,16.84,18.955
15.44715,36.87056,15.788,17.798
12.73483,42.35873,15.318,17.338
13.841,42.30884,17.967,20.405
18.15947,41.71013,19.3,22.355
0,22.28532,18.955,22.033
28.10113,32.46339,15.451,17.808
22.24533,25.99399,22.566,26.34
46.51009,10.17807,26.116,31.108
52.81076,4.98925,26.738,31.728
52.04664,5.38839,25.557,29.72
50.90713,7.18452,26.179,30.628
52.89521,6.28646,25.977,31.4
45.07216,12.27356,23.875,28.758
40.48034,13.87012,20.951,24.883
41.9994,15.06754,21.028,26.373
37.56086,15.76603,21.719,29.073
39.52546,17.01334,21.705,28.635
43.36618,13.77033,22.215,29.838
45.4569,10.02839,23.316,31.295
50.30697,9.52947,23.913,30.695
48.91304,8.03269,22.979,29.443
51.59177,6.13678,21.33,29.163
31.27136,23.74883,21.705,26.343
40.90271,11.27571,28.045,35.923
37.47405,14.81807,26.37,31.583
24.40003,26.44303,26.906,31.793
25.61717,25.14582,27.255,32.66
26.22633,28.23916,24.951,30.845
0,34.19299,22.639,27.628
16.45719,35.98912,21.585,25.453
11.16976,48.24605,4.387,7.311
15.70491,46.79917,4.812,8.063
16.14735,45.75142,4.855,7.812
18.13926,42.95744,3.585,5.938
26.10136,34.07658,3.53,6.412
39.31898,23.69894,2.755,4.796
28.7612,38.16776,1.747,3.536
23.22541,46.44992,2.386,3.931
31.2515,42.65809,2.264,3.395
19.8611,53.03573,1.337,2.607
15.93609,52.98584,1.083,1.907
44.23303,34.67529,1.301,2.293
47.05855,30.53421,0.975,1.822
58.40772,24.94625,1.249,2.468
48.36747,29.2869,1.239,1.881
37.06655,37.96819,0.806,1.305
31.81421,42.6082,1.477,1.935
18.80585,54.13336,3.223,4.35
12.38786,58.72347,5.343,7.097
8.51863,53.18541,10.379,13.348
8.35261,52.13766,13.5,16.753
13.71418,50.24175,14.623,18.068
